# file-name | number of interrupts | score | interrupt-rune (index) | key length | interrupts (starting with index 1 for first occurrence)
p0-2|20|1.02741|0|1|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
p0-2|20|1.09547|0|2|2,3,5,6,8,10,11,12,14,17,18,19,20
p0-2|20|1.14150|0|3|1,2,5,7,9,11,14,15,16,17,18,19,20
p0-2|20|1.13231|0|4|3,4,6,9,11,12,13,14
p0-2|20|1.16489|0|5|1,2,3,4,5,9,12,13,19
p0-2|20|1.16355|0|6|1,2,5,7,8,11,14,15,16,17,18,19,20
p0-2|20|1.26817|0|7|1,3,5,6,7,9,11,13,14,15,17,18,19
p0-2|20|1.16853|0|8|2,5,6,7,10,14,15,16,17,18,19
p0-2|20|1.24714|0|9|1,2,3,7,8,13,14,15,16,17
p0-2|20|1.21659|0|10|1,2,3,4,5,9,12,13,19
p0-2|20|1.28945|0|11|1,3,5,6,10,11,12,13,14,15,16,17,18,19,20
p0-2|20|1.29341|0|12|1,2,5,8,9,10,13,14,15,16,18,19,20
p0-2|20|1.22812|0|13|1,3,4,5,7,8,9,10,11,12,13,14,15,16,19,20
p0-2|20|1.34456|0|14|1,4,5,6,8,12,13,14,16,17,20
p0-2|20|1.29400|0|15|1,3,4,5,7,9,13,14,15,16,17
p0-2|20|1.25527|0|16|1,4,6,7,12,13,14,15,16,17,19,20
p0-2|20|1.38448|0|17|1,2,5,6,8,9,12,15,16,17,19
p0-2|20|1.36640|0|18|1,2,5,8,9,10,13,14,15,16,18,19,20
p0-2|20|1.36640|0|18|1,2,4,8,9,10,13,14,15,16,18,19,20
p0-2|20|1.27259|0|19|2,4,5,6,7,8,10,11,12,18,19,20
p0-2|20|1.27259|0|19|2,3,5,6,7,8,9,11,12,18,19,20
p0-2|20|1.30972|0|20|1,2,3,4,5,9,12,13,17
p0-2|20|1.36319|0|21|1,4,5,6,7,12,14,15,16,20
p0-2|20|1.36319|0|21|1,3,4,6,7,12,14,15,16,20
p0-2|20|1.35038|0|22|1,2,4,5,6,9,10,12
p0-2|20|1.36594|0|23|1,2,4,5,6,7,8,9,11,13,14,15,16,17,18,19
p0-2|20|1.37714|0|24|5,7,8,10,13,15,16,17,18,19,20
p0-2|20|1.37039|0|25|2,3,4,5,6,12,15,18
p0-2|20|1.33846|0|26|1,2,3,4,5,7,8,9,10,11,13,14,15,16,17,18,20
p0-2|20|1.32597|0|27|2,3,7,11,12,14,15,16,17
p0-2|20|1.45607|0|28|2,3,5,6,8,9,11,13,14,15,17,18,20
p0-2|20|1.49231|0|29|5,7,8,10,11,14,17
p0-2|20|1.31545|0|30|1,2,7,8,10,11
p0-2|20|1.40837|0|31|2,3,4,5,6,7,8,12,13,15,18,20
p0-2|20|1.39740|0|32|1,2,3,4,5,6,7,8,9,10,11,12,13,14
p3-7|20|1.03220|0|1|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
p3-7|20|1.07427|0|2|1,4,6,7,8,11,13,15,16,18,19,20
p3-7|20|1.11940|0|3|1,2,3,6,10,11,12,13,14,15,16,17,18,19,20
p3-7|20|1.08906|0|4|1,4,6,7,8,9,10,11,13,15,16,20
p3-7|20|1.11979|0|5|1,2,3,4,5,6,9,13,20
p3-7|20|1.12579|0|6|1,4,6,11,13,15,17,18,19,20
p3-7|20|1.12094|0|7|1,2,3,7,9,10,11,12,13,20
p3-7|20|1.14217|0|8|3,4,5,6,7,9,10,14,16,17,20
p3-7|20|1.20440|0|9|1,2,5,7,12,14,15,16,17,18,19,20
p3-7|20|1.15763|0|10|3,4,7,8,10,11,12,13,15,16,17,18,19,20
p3-7|20|1.16279|0|11|2,6,9,11,14,15,16,17,18,19,20
