# file-name | number of interrupts | score | interrupt-rune (index) | key length | interrupts (starting with index 1 for first occurrence)
0_warning|1|1.85685|0|1|
0_welcome|25|1.17420|0|1|
0_wisdom|5|1.52270|0|1|
0_koan_1|25|1.90479|0|1|
0_loss_of_divinity|8|1.77524|0|1|
jpg107-167|5|1.13036|0|1|
jpg229|2|1.66624|0|1|
p56_an_end|5|0.94230|0|1|
p57_parable|3|1.81859|0|1|
p0-2|34|0.98839|0|1|
p3-7|26|1.00438|0|1|
p8-14|66|0.99935|0|1|
p15-22|72|1.00056|0|1|
p23-26|37|0.99396|0|1|
p27-32|52|0.99140|0|1|
p33-39|40|0.99644|0|1|
p40-53|125|1.00174|0|1|
p54-55|6|0.98082|0|1|
0_welcome|14|1.70031|0|8|1,4,5,6,7,11,12,14
0_welcome|14|1.70031|0|8|1,4,5,6,7,10,12,14
0_welcome|14|1.70031|0|8|1,3,5,6,7,11,12,14
0_welcome|14|1.70031|0|8|1,3,5,6,7,10,12,14
0_welcome|14|1.74248|0|12|4,5,6,8,11,12,14
0_welcome|14|1.74248|0|12|4,5,6,8,10,12,14
0_welcome|14|1.74248|0|12|3,5,6,8,11,12,14
0_welcome|14|1.74248|0|12|3,5,6,8,10,12,14
jpg107-167|5|1.19072|0|8|1,2,3
jpg107-167|5|1.25971|0|9|1,4,5
jpg107-167|5|1.19196|0|10|1,3,4,5
jpg107-167|5|1.17869|0|11|1,3,4,5
jpg107-167|5|1.09583|0|12|4
jpg107-167|5|2.14768|0|13|2,3
p0-2|20|1.02741|0|1|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
p0-2|20|1.09547|0|2|2,3,5,6,8,10,11,12,14,17,18,19,20
p0-2|20|1.14150|0|3|1,2,5,7,9,11,14,15,16,17,18,19,20
p0-2|20|1.13231|0|4|3,4,6,9,11,12,13,14
p0-2|20|1.16489|0|5|1,2,3,4,5,9,12,13,19
p0-2|20|1.16355|0|6|1,2,5,7,8,11,14,15,16,17,18,19,20
p0-2|20|1.26817|0|7|1,3,5,6,7,9,11,13,14,15,17,18,19
p0-2|20|1.16853|0|8|2,5,6,7,10,14,15,16,17,18,19
p0-2|20|1.24714|0|9|1,2,3,7,8,13,14,15,16,17
