# file | total runes in file | interrupt | indices
0_warning|184|0|95
0_warning|184|1|
0_warning|184|2|38,72,90
0_warning|184|3|
0_warning|184|4|0,2,36,110,128,135,173,179
0_warning|184|5|65,71,94,97,103,139,155,183
0_warning|184|6|
0_warning|184|7|5,16,111
0_warning|184|8|8,63,174,175
0_warning|184|9|20,124,165
0_warning|184|10|7,10,12,28,31,48,52,54,58,64,67,80,83,86,89,102,112,123,125,130,138,145,148,151,160,167,182
0_warning|184|11|6,24,47,116,166
0_warning|184|12|33,37,45,49,53,56,76,101,105,134
0_warning|184|13|23,55,115,126,127,156,169,177,178
0_warning|184|14|29,81
0_warning|184|15|32,82
0_warning|184|16|
0_warning|184|17|
0_warning|184|18|9,22,69,85,104,114,136,141,143,146,161,176
0_warning|184|19|4,13,42,60,70,87,99,133,137,144,163
0_warning|184|20|35,109
0_warning|184|21|1,34,44,62,140,152
0_warning|184|22|66,129
0_warning|184|23|27,30,41,59,88,108,119,131,180
0_warning|184|24|3,18,50,75,77,84,93,107,121,149,154,158,162,168,172,181
0_warning|184|25|14,19,25,26,39,43,46,61,73,91,98,100,106,117,118,120,132,153,157,171
0_warning|184|26|15,21,57,79,96,113,122,142,147,150,159
0_warning|184|27|11,40,51,74,78,92,164
0_warning|184|28|17,68,170
0_welcome|515|0|5,14,47,48,74,84,132,144,152,159,160,165,219,250,317,331,398,421,423,443,465,470,499,505,514
0_welcome|515|1|0,9,50,53,119,145,183,211,223,231,249,266,286,310,332,334,346,364,375,383,420,429,439,452,469,483
0_welcome|515|2|82,106,146,158,163,184,188,297,337,369,397,476,480,492,497
0_welcome|515|3|42,87,174,196,311,341,377
0_welcome|515|4|7,41,57,71,81,99,103,122,135,136,142,198,202,257,275,314,318,319,323,343,344,396,401,403,428,431,503,508
0_welcome|515|5|6,18,26,62,76,80,89,105,110,116,121,138,143,192,208,349,356,386,405,417,425,426,455,481,485,501,512
0_welcome|515|6|10,114,139,155,294,387,389,436,448,456
0_welcome|515|7|15,35,66,90,94,112,124,150,177,181,186,201,225,229,262,301,302,358,400,463
0_welcome|515|8|210,329,495
0_welcome|515|9|27,65,263,279,287,300,440,444
0_welcome|515|10|46,59,73,127,134,204,244,303,325,353,359,449,490
0_welcome|515|11|85,101,149,154,168,179,191,207,215,220,227,258,265,290,293,321,328,333,340,381,402,407,410,416,430,459,472
0_welcome|515|12|4,8,24,52,77,78,88,107,115,120,178,222,226,238,254,274,320,339,342,351,380,471,489
0_welcome|515|13|11,37,56,60,75,83,111,118,126,147,162,164,171,213,221,245,284,296,299,308,362,365,368,382,399,422,435,437,462,473,504
0_welcome|515|14|16,68,131,167,182,195,209,230,239,256,268,298,404,445,467,474,491,507
0_welcome|515|15|3,98,173,175,193,235,259,267,278,348,390,493
0_welcome|515|16|17,25,109,151,270,272,361,370,372,392,454
0_welcome|515|17|67,92,95,128,130,140,156,200,285,295,309,371,394,434,438,461,509,513
0_welcome|515|18|49,123,170,260,261,271,280,363,374,379,411,446,486,502,510
0_welcome|515|19|22,30,33,34,45,69,86,104,113,137,169,176,187,199,203,218,236,241,243,248,251,273,305,322,324,345,347,373,393,395,413,433,453
0_welcome|515|20|19,97,133,180,214,233,304,307,330,336,352,357,360,376,378,385,475,479,487,500
0_welcome|515|21|2,29,39,51,117,172,197,216,289,406,442,451
0_welcome|515|22|409
0_welcome|515|23|38,70,189,205,228,264,277,282,326,414,464
0_welcome|515|24|166,232,234,424,432,478,506
0_welcome|515|25|28,36,54,58,61,63,64,79,93,102,108,157,185,240,247,255,281,292,306,354,355,418,460,468,488,494,496,511
0_welcome|515|26|21,55,100,129,141,190,206,212,217,246,252,253,269,276,327,412,415,447,466,482,498
0_welcome|515|27|31,32,40,44,72,91,125,148,194,224,237,242,283,291,313,315,335,367,391,419,484
0_welcome|515|28|1,12,13,20,23,43,96,153,161,288,312,316,338,350,366,384,388,408,427,441,450,457,458,477
0_wisdom|157|0|36,96,97,118,143
0_wisdom|157|1|37,60,95,101,115,126,134,140,144
0_wisdom|157|2|10,27,54,78,89,147
0_wisdom|157|3|1,8,30,59,76,85,102,111,119,123,132,135,139
0_wisdom|157|4|13,19,24,48,68,91,99,107,116,120,141,149
0_wisdom|157|5|23,39,47,67,74,105,114,152
0_wisdom|157|6|133
0_wisdom|157|7|4,77,86
0_wisdom|157|8|58,82
0_wisdom|157|9|34,38,42,66,75,108,129,142
0_wisdom|157|10|5,14,32,43,79,103,125,136
0_wisdom|157|11|
0_wisdom|157|12|
0_wisdom|157|13|12,70
0_wisdom|157|14|
0_wisdom|157|15|0,6,17,21,44,45,56,57,80,81,87,100,113,127
0_wisdom|157|16|29,31,35,40,71
0_wisdom|157|17|63,94,112,124,154
0_wisdom|157|18|3,11,16,20,25,28,33,49,64,65,72,90,98,148
0_wisdom|157|19|2,9,15,121,122,138
0_wisdom|157|20|52,53,61,93,110,131,145,151,156
0_wisdom|157|21|55
